id,用户,昵称,状态,审核人,原因,创建时间,更新时间
"302019","    Aff：505060375 , 机智音响 Vip：普通 余额：0  |  收益：0  认证：否     ","","待审核","","","2026-04-01 20:49:42","2026-04-01 20:49:42"
"302018","    Aff：505529533 , 潇洒踢钢笔 Vip：普通 余额：0  |  收益：0  认证：否     ","l","待审核","","","2026-04-01 20:48:05","2026-04-01 20:48:05"
"302017","    Aff：504933999 , 冷傲流沙 Vip：普通 余额：0  |  收益：0  认证：否     ","媚儿惠惠","待审核","","","2026-04-01 20:47:42","2026-04-01 20:47:42"
"302016","    Aff：55979835 , 个性的鞋垫 Vip：普通 余额：0  |  收益：0  认证：否     ","温柔的女人","待审核","","","2026-04-01 20:43:31","2026-04-01 20:43:31"
"302015","    Aff：460528236 , 风中踢机器猫 Vip：普通 余额：0  |  收益：0  认证：否     ","临沂入珠男","待审核","","","2026-04-01 20:41:38","2026-04-01 20:41:38"
"302014","    Aff：141705087 , 优雅服饰 Vip：普通 余额：0  |  收益：0  认证：否     ","山西的","待审核","","","2026-04-01 20:33:21","2026-04-01 20:33:21"
"302013","    Aff：437962987 , 细心鞋子 Vip：普通 余额：0  |  收益：0  认证：否     ","人鱼线","待审核","","","2026-04-01 20:31:56","2026-04-01 20:31:56"
"302012","    Aff：505516509 , 尊敬帅哥 Vip：月卡 余额：0  |  收益：0  认证：否     ","陈乐乐","待审核","","","2026-04-01 20:28:31","2026-04-01 20:28:31"
"302011","    Aff：286909391 , 善良迎唇膏 Vip：普通 余额：0  |  收益：0  认证：否     ","香草旺萌如","待审核","","","2026-04-01 20:25:59","2026-04-01 20:25:59"
"302010","    Aff：495697346 , 拉长迎书包 Vip：普通 余额：0  |  收益：0  认证：否     ","今晚去你家","待审核","","","2026-04-01 20:10:17","2026-04-01 20:10:17"
"302009","    Aff：505514548 , 执着笑狗 Vip：普通 余额：0  |  收益：0  认证：否     ","xh","待审核","","","2026-04-01 20:07:52","2026-04-01 20:07:52"
